"dataset_id","x.start","x.end","y.start","y.end","avg_log_p_value","RSS","r_squared","nb_points","leftmost","segment.squared_length","slope","loss","is_best","relative_segment_squared_length","linearity","relative_linearity","n","n_breakpoints","true_gamma"
173,-1.09195197952437,-0.905877119397159,-0.45840137829327,-0.479241762627518,-0.662526275326894,1.92812877215059e-07,0.996933312131902,3,2,0.035058175190562,-0.112,0.019044,0,1,2.51333042488513,0,10000,2,0.125
173,-0.905877119397159,-0.8,-0.479263551946111,-0.50352,-0.441510961590537,6.77065491605746e-08,0.999742091108377,3,3,0.0117983396840313,-0.2291,0.00043681,1,0.336536046725201,3.58853368494099,0,10000,2,0.125
174,-3.15,-1.53916615189346,-0.308358,-0.351335047067483,-2.51289723475397,0.00194886144480336,0.731979947709526,33,1,2.59663271278038,-0.02668,0.0498718224,0,1,0.571832712414042,0.299802334928667,31622,1,0.125
174,-1.53916615189346,-0.8,-0.351344374935458,-0.53074,-0.40395458343296,0.000516868197576281,0.987622463187767,15,2,0.578549390397278,-0.2427,5.329e-05,0,0.222807556705927,1.9073657733523,1,31622,1,0.125
174,-3.15,-2.8166240930107,-0.28557,-0.328308791276028,-8.47419478315895,5.13303831100254e-06,0.995551615753155,7,1,0.112966099640674,-0.1282,0.01483524,0,0.0724516767100344,2.35179770589607,1,31622,2,0.125
174,-2.8166240930107,-1.56804384348597,-0.328273861246667,-0.343756256340774,-0.935352531250114,1.26914385591986e-05,0.975220256310544,25,2,1.55919234406108,-0.0124,0.05645376,0,1,1.60590319008387,0.682840699290503,31622,2,0.125
174,-1.56804384348597,-0.8,-0.343767715342468,-0.53094,-0.392609420938116,0.000520327449882121,0.98979462271107,16,3,0.624924809660627,-0.2437,3.969e-05,1,0.400800332326508,1.99117093494876,0.846659102505627,31622,2,0.125
175,-2.15,-1.94781920744354,0.02957,-0.00637774491653842,-1.86152617802476,2.17617189058518e-06,0.995732112847419,5,1,0.0421693132433425,-0.1778,0.32741284,0,0.0244865856189518,2.36978707229797,0.983820785190407,20000,1,0.375
175,-1.94781920744354,-0.8,-0.0065185952347897,-0.64264,-0.589437760416076,0.00302109482815951,0.996098414756244,23,2,1.72213937457678,-0.5542,0.03833764,0,1,2.40875889996502,1,20000,1,0.375
175,-2.15,-1.93760271545443,0.0277749999999999,-0.00249161304774331,-1.86152617802476,2.17617189058518e-06,0.995732112847419,5,1,0.0460286743477122,-0.1425,0.36905625,0,0.0447872199632982,2.36978707229797,0.791542162833951,20000,2,0.375
175,-1.93760271545443,-1.06188331023257,-0.00299009634697445,-0.513709653472363,-0.59673006933507,0.000352242520457113,0.99898582264709,17,2,1.02771894271248,-0.5832,0.02782224,1,1,2.99388609169402,1,20000,2,0.375
